msa,year,value
"Sherbrooke, Quebec",2014,"7,583"
"Sherbrooke, Quebec",2015,"7,885"
"Sherbrooke, Quebec",2016,"8,017"
"Sherbrooke, Quebec",2017,"8,559"
"St. Catharines – Niagara, Ontario",2009,"13,302"
"St. Catharines – Niagara, Ontario",2010,"14,179"
"St. Catharines – Niagara, Ontario",2011,"14,709"
"St. Catharines – Niagara, Ontario",2012,"14,585"
"St. Catharines – Niagara, Ontario",2013,"14,412"
"St. Catharines – Niagara, Ontario",2014,"14,690"
"St. Catharines – Niagara, Ontario",2015,"14,998"
"St. Catharines – Niagara, Ontario",2016,"15,230"
"St. Catharines – Niagara, Ontario",2017,"15,620"
"St. John's, Newfoundland and Labrador",2009,"9,112"
"St. John's, Newfoundland and Labrador",2010,"9,656"
"St. John's, Newfoundland and Labrador",2011,"10,604"
"St. John's, Newfoundland and Labrador",2012,"11,633"
"St. John's, Newfoundland and Labrador",2013,"12,386"
"St. John's, Newfoundland and Labrador",2014,"12,577"
"St. John's, Newfoundland and Labrador",2015,"13,165"
"St. John's, Newfoundland and Labrador",2016,"13,174"
"St. John's, Newfoundland and Labrador",2017,"13,032"
"Thunder Bay, Ontario",2009,"4,921"
"Thunder Bay, Ontario",2010,"5,064"
"Thunder Bay, Ontario",2011,"5,480"
"Thunder Bay, Ontario",2012,"5,443"
"Thunder Bay, Ontario",2013,"5,499"
"Thunder Bay, Ontario",2014,"5,869"
"Thunder Bay, Ontario",2015,"5,987"
"Thunder Bay, Ontario",2016,"5,981"
"Thunder Bay, Ontario",2017,"6,148"
"Toronto, Ontario",2009,"282,325"
"Toronto, Ontario",2010,"296,138"
"Toronto, Ontario",2011,"309,981"
"Toronto, Ontario",2012,"322,045"
"Toronto, Ontario",2013,"332,476"
"Toronto, Ontario",2014,"349,151"
"Toronto, Ontario",2015,"364,219"
"Toronto, Ontario",2016,"385,934"
"Toronto, Ontario",2017,"405,156"
"Trois-Rivières, Quebec",2009,"5,028"
"Trois-Rivières, Quebec",2010,"5,237"
"Trois-Rivières, Quebec",2011,"5,480"
"Trois-Rivières, Quebec",2012,"5,705"
"Trois-Rivières, Quebec",2013,"5,685"
"Trois-Rivières, Quebec",2014,"5,815"
"Trois-Rivières, Quebec",2015,"6,105"
"Trois-Rivières, Quebec",2016,"6,287"
"Trois-Rivières, Quebec",2017,"6,655"
"Vancouver, British Columbia",2009,"102,194"
"Vancouver, British Columbia",2010,"105,800"
"Vancouver, British Columbia",2011,"110,395"
"Vancouver, British Columbia",2012,"115,007"
"Vancouver, British Columbia",2013,"119,746"
"Vancouver, British Columbia",2014,"125,426"
"Vancouver, British Columbia",2015,"131,406"
"Vancouver, British Columbia",2016,"138,344"
"Vancouver, British Columbia",2017,"145,756"
"Victoria, British Columbia",2009,"16,067"
"Victoria, British Columbia",2010,"16,216"
"Victoria, British Columbia",2011,"16,364"
"Victoria, British Columbia",2012,"17,196"
"Victoria, British Columbia",2013,"17,400"
"Victoria, British Columbia",2014,"18,076"
"Victoria, British Columbia",2015,"18,981"
"Victoria, British Columbia",2016,"19,656"
"Victoria, British Columbia",2017,"20,464"
"Windsor, Ontario",2009,"11,570"
"Windsor, Ontario",2010,"12,567"
"Windsor, Ontario",2011,"12,968"
"Windsor, Ontario",2012,"13,795"
"Windsor, Ontario",2013,"13,742"
"Windsor, Ontario",2014,"14,258"
"Windsor, Ontario",2015,"15,264"
"Windsor, Ontario",2016,"15,561"
"Windsor, Ontario",2017,"15,649"
"Winnipeg, Manitoba",2009,"31,615"
"Winnipeg, Manitoba",2010,"32,826"
"Winnipeg, Manitoba",2011,"34,035"
"Winnipeg, Manitoba",2012,"35,711"
"Winnipeg, Manitoba",2013,"36,525"
"Winnipeg, Manitoba",2014,"38,591"
"Winnipeg, Manitoba",2015,"40,075"
"Winnipeg, Manitoba",2016,"41,444"
"Winnipeg, Manitoba",2017,"43,494"
